,nonadapt,adapt,novel
817,j,j,j
818,None,None,None
819,None,None,j
820,None,None,None
821,j,j,j
822,None,None,None
823,None,None,None
824,None,None,None
825,None,None,None
826,None,None,None
827,None,None,None
828,None,None,None
829,None,None,None
830,j,None,None
831,None,None,None
832,None,None,None
833,None,j,None
834,None,None,None
835,None,None,None
836,None,None,None
837,None,None,None
838,None,None,None
839,j,None,None
840,None,None,None
841,None,None,None
842,None,None,None
843,j,None,None
844,None,None,None
845,None,None,None
846,None,None,None
847,None,None,None
848,None,None,None
849,j,None,j
850,None,None,None
851,None,None,None
852,None,None,None
853,None,None,None
854,None,None,None
855,None,None,None
856,j,None,j
857,j,None,None
858,j,None,None
859,None,None,None
860,None,None,None
861,j,None,None
862,None,None,None
863,None,None,None
864,j,j,j
865,None,None,None
866,j,None,None
867,None,None,None
868,None,None,None
869,None,None,None
870,None,None,None
871,None,None,None
872,None,None,None
873,None,None,None
874,None,None,None
875,None,None,None
876,None,None,None
877,None,None,None
878,None,None,None
879,None,None,None
880,None,None,None
881,None,None,None
882,None,None,None
883,None,None,None
884,None,None,None
885,None,None,None
886,None,None,None
887,None,None,None
888,None,None,None
889,None,None,None
890,None,j,j
891,None,None,None
892,None,None,None
893,None,None,None
894,None,None,None
895,j,j,j
896,None,None,None
897,None,None,None
898,None,None,None
899,None,None,None
900,None,None,None
901,None,None,None
902,None,None,None
903,None,None,None
904,None,None,None
905,None,None,None
906,None,None,None
907,None,None,None
908,None,None,None
909,None,None,None
910,None,None,None
911,None,None,j
912,None,None,None
913,None,None,None
914,None,None,None
915,None,None,None
916,None,None,None
917,j,j,j
918,None,None,None
919,None,None,None
920,None,None,j
921,None,None,None
922,None,None,None
923,j,None,j
924,None,None,None
925,None,None,None
926,None,None,None
927,None,None,None
928,None,None,None
929,None,None,None
930,None,None,None
931,None,None,None
932,None,None,None
933,None,None,None
934,None,None,None
935,None,None,None
936,None,None,None
937,None,None,None
938,None,None,None
939,None,None,None
940,None,None,j
941,None,None,None
942,None,None,None
943,None,None,None
944,None,None,None
945,None,None,None
946,None,None,None
947,None,None,None
948,None,None,j
949,None,None,None
950,None,None,None
951,None,None,None
952,j,j,j
953,None,None,None
954,None,None,None
955,None,None,None
956,None,None,None
957,None,None,None
958,None,None,None
959,None,None,None
960,None,None,None
961,None,None,None
962,None,None,None
963,None,None,None
964,None,None,None
