grating_freq,blocks_prac.thisRepN,blocks_prac.thisTrialN,blocks_prac.thisN,blocks_prac.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,repeat_freq.thisRepN,repeat_freq.thisTrialN,repeat_freq.thisN,repeat_freq.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_loop.thisRepN,break_loop.thisTrialN,break_loop.thisN,break_loop.thisIndex,rest_loop.thisRepN,rest_loop.thisTrialN,rest_loop.thisN,rest_loop.thisIndex,instruct_prac_text.started,instruct_prac_resp.started,b_instruct_text_2_.started,b_instruct_resp_2_.started,prac_done_text.started,prac_done_resp.started,instruct_text.started,instruct_resp.started,fixation.started,fixation.stopped,grating.started,blank.started,resp.started,grating.stopped,blank.stopped,resp.stopped,resp.keys,resp.corr,direction,duration,trigger,stim_type,corr_ans,scaling,resp.rt,rest_text.started,rest_resp.started,text_2.started,text_2.stopped,thx_txt.started,gender,age,participant,language,main_hand,nBlock_prac,file_suffix,date,expName,psychopyVersion,frameRate,
20,,,,,0,0,0,3,9,0,9,0,10,0,10,0,,,,,,,,,,,,,,,,,1367.7366050999844,1368.4187833000324,1368.4187833000324,1369.0187388000195,0.6147938999929465,1369.0187388000195,1371.033368000004,2.629390300018713,None,1,decreament,0.6,41,standard,None,100,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
20,,,,,0,0,0,3,9,0,9,0,11,0,11,0,,,,,,,,,,,,,,,,,1371.0505481000291,1371.6664455999853,1371.6664455999853,1372.2659932000097,0.6151650000247173,1372.2659932000097,1374.2806973999832,2.6298109000199474,None,1,decreament,0.6,41,standard,None,100,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
20,,,,,0,0,0,3,9,0,9,0,12,0,12,0,,,,,,,,,,,,,,,,,1374.2976775999996,1374.9804507999797,1374.9804507999797,1375.5799600000028,0.6157410999876447,1375.5965662000235,1377.5946409000317,2.6304406999843195,None,1,decreament,0.6,41,standard,None,100,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
20,,,,,0,0,0,3,9,0,9,0,13,0,13,0,,,,,,,,,,,,,,,,,1377.6116203999845,1378.2445875999983,1378.2445875999983,1378.4775057000224,0.24904199998127297,1378.4942063000053,1380.4926174000138,2.2641491999966092,j,1,decreament,0.24,42,oddball,j,40,0.4571334000211209,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
20,,,,,0,0,0,3,9,0,9,0,14,0,14,0,,,,,,,,,,,,,,,,,1380.509092900029,1381.0918568000197,1381.0918568000197,1381.6916545000277,0.6157337999902666,1381.6916545000277,1383.7063912000158,2.630354799970519,None,1,decreament,0.6,41,standard,None,100,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
20,,,,,0,0,0,3,9,0,9,0,15,0,15,0,,,,,,,,,,,,,,,,,1383.722890199977,1384.4889530999935,1384.4889530999935,1385.0718761000317,0.5991382999927737,1385.0884875000338,1387.0870186000247,2.6142445000004955,None,1,decreament,0.6,41,standard,None,100,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
20,,,,,0,0,0,3,9,0,9,0,16,0,16,0,,,,,,,,,,,,,,,,,1387.1035180999897,1387.7694194000214,1387.7694194000214,1388.3523139000172,0.6155934000271372,1388.3690323000192,1390.3676119000302,2.630652400024701,None,1,decreament,0.6,41,standard,None,100,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
20,,,,,0,0,0,3,9,0,9,0,17,0,17,0,,,,,,,,,,,,,,,,,1390.4007975999848,1391.150285599986,1391.150285599986,1391.6165804999764,0.48211070004617795,1391.6332810000167,1393.6313470000168,2.4968245000345632,None,0,decreament,0.48,44,oddball,j,80,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
20,,,,,0,0,0,3,9,0,9,0,18,0,18,0,,,,,,,,,,,,,,,,,1393.6477913000272,1394.2972059000167,1394.2972059000167,1394.8802561999764,0.5991268999641761,1394.8967972000246,1396.8952280000085,2.6140938999596983,None,1,decreament,0.6,41,standard,None,100,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
20,,,,,0,0,0,3,9,0,9,0,19,0,19,0,,,,,,,,,,,,,,,,,1396.912186499976,1397.561334100028,1397.561334100028,1398.144172500004,0.5991583000286482,1398.1607817999902,1400.1590435000253,2.6140155000030063,None,1,decreament,0.6,41,standard,None,100,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
