participant,direction,grating,A0,a,start,A,B,n_step,best_model,lambda,d-prime
236,increment,0,1,1.11,0.011,1,0,16.0,novel,19.15333333333333,3.113402077355366
236,increment,5,1,1.11,0.011,1,0,16.0,novel,19.17333333333333,3.3059558470688866
236,increment,10,1,1.1,0.011,1,0,16.0,novel,20.206666666666667,2.946773539853485
236,increment,20,1,1.11,0.012,1,0,16.0,novel,18.24,3.2194533126907743
237,decrement,0,5,1.12,0.011,3,0,,nonadapt,17.566666666666666,3.28028619043713
237,decrement,5,5,1.1,0.013,4,0,,nonadapt,17.566666666666666,3.113402077355366
237,decrement,10,5,1.1,0.011,5,0,,nonadapt,19.5,2.5627811540526055
237,decrement,20,5,1.1,0.01,4,0,,nonadapt,19.566666666666663,2.2035988468372043
237,increment,0,3,1.12,0.011,4,0,,nonadapt,18.23333333333333,2.6894560411178183
237,increment,5,3,1.1,0.013,3,0,,nonadapt,18.3,2.7553349237661258
237,increment,10,3,1.1,0.011,2,0,,nonadapt,20.266666666666666,3.0268995429772545
237,increment,20,3,1.1,0.01,3,0,,nonadapt,20.33333333333333,3.4728399601506497
238,decrement,0,4,1.09,0.011,4,0,23.0,novel,20.466666666666665,2.541968684486771
238,decrement,5,4,1.07,0.011,3,0,23.0,novel,22.466666666666665,1.8498263999691915
238,decrement,10,4,1.1,0.011,4,0,23.0,novel,19.5,2.179044343831608
238,decrement,20,4,1.1,0.011,4,0,23.0,novel,19.5,2.755334923766125
238,increment,0,1,1.09,0.011,2,0,23.0,novel,21.266666666666666,2.012415806329726
238,increment,5,1,1.07,0.011,1,0,23.0,novel,23.39333333333333,2.9222190368478884
238,increment,10,1,1.1,0.011,1,0,23.0,novel,20.24,2.305463655316938
238,increment,20,1,1.1,0.011,1,0,23.0,novel,20.24,1.6321654539686081
239,decrement,0,8,1.09,0.013,8,0,23.0,novel,18.48,1.9256576963717322
239,decrement,5,8,1.1,0.009,7,0,23.0,novel,20.48,1.2072930819409295
239,decrement,10,8,1.07,0.011,8,0,23.0,novel,22.466666666666665,3.5775204662800157
239,decrement,20,8,1.08,0.011,0,0,23.0,novel,21.4,1.373921619442811
239,increment,0,2,1.09,0.013,0,0,23.0,novel,19.18,1.2937956163190416
239,increment,5,2,1.1,0.009,0,0,23.0,novel,21.226666666666667,1.0147393122274095
239,increment,10,2,1.07,0.011,3,0,23.0,novel,23.37333333333333,2.4762786196744937
239,increment,20,2,1.08,0.011,1,0,23.0,novel,22.226666666666667,1.3739216194428108
240,decrement,0,3,1.11,0.01,3,15,,nonadapt,18.6,1.9864905741180874
240,decrement,5,3,1.09,0.013,3,15,,nonadapt,18.53333333333333,2.426281075367417
240,decrement,10,3,1.1,0.011,1,15,,nonadapt,19.5,2.1839015308975296
240,decrement,20,3,1.1,0.011,3,15,,nonadapt,19.5,2.1827863772713694
240,increment,0,3,1.11,0.01,2,15,,nonadapt,19.3,2.8560845786196993
240,increment,5,3,1.09,0.013,3,15,,nonadapt,19.33333333333333,2.5371114974208484
240,increment,10,3,1.1,0.011,3,15,,nonadapt,20.266666666666666,2.1790443438316074
240,increment,20,3,1.1,0.011,3,15,,nonadapt,20.266666666666666,3.0268995429772545
241,decrement,0,3,1.11,0.011,3,0,28.0,novel,18.566666666666663,3.2194533126907747
241,decrement,5,3,1.11,0.01,3,0,28.0,novel,18.6,2.8343457732637343
241,decrement,10,3,1.1,0.011,3,0,28.0,novel,19.5,3.2102794553654252
241,decrement,20,3,1.1,0.011,3,0,28.0,novel,19.5,2.8560845786197007
