grating_freq,blocks_prac.thisRepN,blocks_prac.thisTrialN,blocks_prac.thisN,blocks_prac.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,repeat_freq.thisRepN,repeat_freq.thisTrialN,repeat_freq.thisN,repeat_freq.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_loop.thisRepN,break_loop.thisTrialN,break_loop.thisN,break_loop.thisIndex,rest_loop.thisRepN,rest_loop.thisTrialN,rest_loop.thisN,rest_loop.thisIndex,instruct_prac_text.started,instruct_prac_text.stopped,b_instruct_text_2_.started,b_instruct_text_2_.stopped,prac_done_text.started,prac_done_text.stopped,instruct_text.started,instruct_text.stopped,fixation.started,fixation.stopped,grating.started,grating.stopped,blank.started,blank.stopped,resp.keys,resp.corr,resp.started,resp.stopped,direction,duration,trigger,stim_type,corr_ans,scaling,rest_text.started,rest_text.stopped,resp.rt,text_2.started,text_2.stopped,thx_txt.started,thx_txt.stopped,gender,age,participant,language,main_hand,nBlock_prac,file_suffix,date,expName,psychopyVersion,frameRate,
5,,,,,0,0,0,1,1,0,1,0,13,0,13,0,,,,,,,,,,,,,,,,,209.95610539987683,None,210.54011719999835,211.14052209979855,211.12379569979385,213.1248138998635,None,1,0.6128043900243938,2.6139299899805337,decreament,0.6,11,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,1,0,1,0,14,0,14,0,,,,,,,,,,,,,,,,,213.1411607998889,None,213.75785559997894,214.35823009978049,214.3418029998429,216.34201529994607,None,1,0.6125546898692846,2.612686889944598,decreament,0.6,11,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,1,0,1,0,15,0,15,0,,,,,,,,,,,,,,,,,216.35905279987492,None,216.94253239990212,217.54326149984263,217.52645309991203,219.52668829984032,None,1,0.6107005900703371,2.610847690142691,decreament,0.6,11,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,1,0,1,0,16,0,16,0,,,,,,,,,,,,,,,,,219.5433813999407,None,220.14389079995453,220.74416079977527,220.72741559986025,222.72803569980897,None,1,0.6093681899365038,2.609953489853069,decreament,0.6,11,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,1,0,1,0,17,0,17,0,,,,,,,,,,,,,,,,,222.74483059998602,None,223.4616652999539,224.0625607999973,224.0452635998372,226.04607959999703,None,1,0.6113292900845408,2.6121463901363313,decreament,0.6,11,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,1,0,1,0,18,0,18,0,,,,,,,,,,,,,,,,,226.06297709979117,None,226.86325309984386,227.22955599986017,227.1963372998871,229.1970808999613,j,1,0.36043229000642896,2.3611845900304615,decreament,0.36,13,oddball,j,60,,,0.7803193000145257,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,1,0,1,0,19,0,19,0,,,,,,,,,,,,,,,,,229.2140289999079,None,229.76387559995055,230.36433389992453,230.34778739977628,232.34831239981577,None,1,0.6117065900471061,2.612185890087858,decreament,0.6,11,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,1,0,1,0,20,0,20,0,,,,,,,,,,,,,,,,,232.36490529985167,None,232.9318428998813,233.5319387000054,233.51569699984975,235.51622409978881,None,1,0.6106695898342878,2.611181390006095,decreament,0.6,11,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,1,0,1,0,21,0,21,0,,,,,,,,,,,,,,,,,235.53301279991865,None,236.26633239979856,236.86684279982,236.85025379993021,238.85074059991166,None,1,0.612905089976266,2.613406389951706,decreament,0.6,11,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,1,0,1,0,22,0,22,0,,,,,,,,,,,,,,,,,238.86735089984722,None,239.5009445999749,239.98427549982443,239.9677693999838,241.96882389998063,j,1,0.49252968979999423,2.493634789949283,decreament,0.48,14,oddball,j,80,,,0.785015000263229,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,1,0,1,0,23,0,23,0,,,,,,,,,,,,,,,,,241.98688839981332,None,242.6855711999815,243.2860314999707,243.26910189981572,245.26976169995032,None,1,0.6124484897591174,2.6130258897319436,decreament,0.6,11,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,1,0,1,0,24,0,24,0,,,,,,,,,,,,,,,,,245.28665429982357,None,245.9202765999362,246.52095119981095,246.50407759984955,248.50441989977844,None,1,0.6108788901474327,2.611170890275389,decreament,0.6,11,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,1,0,1,0,25,0,25,0,,,,,,,,,,,,,,,,,248.52116719982587,None,249.27121749985963,249.87187319993973,249.85508519993164,251.85572889982723,None,1,0.6134603898972273,2.6141398900654167,decreament,0.6,11,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,1,0,1,0,26,0,26,0,,,,,,,,,,,,,,,,,251.87236959999427,None,252.48930019978434,253.08932579983957,253.07274459977634,255.0738388998434,None,1,0.6131508899852633,2.614282990107313,decreament,0.6,11,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,1,0,1,0,27,0,27,0,,,,,,,,,,,,,,,,,255.0901900997851,None,255.690515199909,256.29106669989415,256.27428959985264,258.27459129993804,None,1,0.6119646900333464,2.6122126900590956,decreament,0.6,11,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,1,0,1,0,28,0,28,0,,,,,,,,,,,,,,,,,258.2914876998402,None,259.0250438998919,259.62528699985705,259.6085394998081,261.60949489986524,None,1,0.6143542898353189,2.615371889900416,decreament,0.6,11,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
