participant,direction,grating,A0,a,start,A,B,n_step
233,decrement,5,8.0,1.06,0.013,8.0,0.0,30.0
233,decrement,10,8.0,1.19,0.011,8.0,0.0,30.0
233,decrement,20,8.0,1.1,0.011,8.0,0.0,30.0
233,increment,0,0.0,1.06,0.011,0.0,0.0,30.0
233,increment,5,0.0,1.06,0.013,0.0,0.0,30.0
233,increment,10,0.0,1.19,0.011,0.0,0.0,30.0
233,increment,20,0.0,1.1,0.011,0.0,0.0,30.0
234,decrement,0,8.0,1.12,0.011,8.0,0.0,21.0
234,decrement,5,8.0,1.09,0.014,8.0,0.0,21.0
234,decrement,10,8.0,1.13,0.011,8.0,0.0,21.0
234,decrement,20,8.0,1.1,0.011,8.0,0.0,21.0
234,increment,0,1.0,1.12,0.011,0.0,0.0,21.0
234,increment,5,1.0,1.09,0.014,1.0,0.0,21.0
234,increment,10,1.0,1.13,0.011,0.0,0.0,21.0
234,increment,20,1.0,1.1,0.011,0.0,0.0,21.0
235,decrement,0,8.0,1.23,0.011,8.0,0.0,10.0
235,decrement,5,8.0,1.02,0.009,0.0,0.0,10.0
235,decrement,10,8.0,1.1,0.011,8.0,0.0,10.0
235,decrement,20,8.0,1.07,0.011,3.0,0.0,10.0
235,increment,0,0.0,1.23,0.011,0.0,0.0,10.0
235,increment,5,0.0,1.02,0.009,0.0,0.0,10.0
235,increment,10,0.0,1.1,0.011,0.0,0.0,10.0
235,increment,20,0.0,1.07,0.011,3.0,0.0,10.0
236,decrement,0,8.0,1.08,0.011,8.0,0.0,25.0
236,decrement,5,8.0,1.08,0.014,6.0,0.0,25.0
236,decrement,10,8.0,1.1,0.011,7.0,0.0,25.0
236,decrement,20,8.0,1.1,0.011,7.0,0.0,25.0
236,increment,0,0.0,1.08,0.011,0.0,0.0,25.0
236,increment,5,0.0,1.08,0.014,0.0,0.0,25.0
236,increment,10,0.0,1.1,0.011,0.0,0.0,25.0
236,increment,20,0.0,1.1,0.011,0.0,0.0,25.0
237,decrement,0,8.0,1.07,0.011,8.0,0.0,18.0
237,decrement,5,8.0,1.03,0.012,6.0,0.0,18.0
237,decrement,10,8.0,1.1,0.011,8.0,0.0,18.0
237,decrement,20,8.0,1.04,0.01,4.0,0.0,18.0
237,increment,0,1.0,1.07,0.011,0.0,0.0,18.0
237,increment,5,1.0,1.03,0.012,1.0,0.0,18.0
237,increment,10,1.0,1.1,0.011,0.0,0.0,18.0
237,increment,20,1.0,1.04,0.01,1.0,0.0,18.0
238,decrement,0,8.0,1.07,0.009,5.0,0.0,30.0
238,decrement,5,8.0,1.09,0.011,8.0,0.0,30.0
238,decrement,10,8.0,1.06,0.011,8.0,0.0,30.0
238,decrement,20,8.0,1.1,0.011,7.0,0.0,30.0
238,increment,0,0.0,1.07,0.009,0.0,0.0,30.0
238,increment,5,0.0,1.09,0.011,0.0,0.0,30.0
238,increment,10,0.0,1.06,0.011,0.0,0.0,30.0
238,increment,20,0.0,1.1,0.011,0.0,0.0,30.0
239,decrement,0,8.0,1.05,0.011,8.0,8.0,21.0
239,decrement,5,8.0,1.05,0.011,7.0,8.0,21.0
239,decrement,10,8.0,1.08,0.013,7.0,8.0,21.0
239,decrement,20,8.0,1.11,0.011,8.0,8.0,21.0
239,increment,0,1.0,1.05,0.011,7.0,8.0,21.0
239,increment,5,1.0,1.05,0.011,1.0,8.0,21.0
239,increment,10,1.0,1.08,0.013,1.0,8.0,21.0
239,increment,20,1.0,1.11,0.011,0.0,8.0,21.0
240,decrement,0,8.0,1.07,0.011,8.0,0.0,16.0
240,decrement,5,8.0,1.13,0.011,8.0,0.0,16.0
240,decrement,10,8.0,1.1,0.012,8.0,0.0,16.0
240,decrement,20,8.0,1.23,0.011,8.0,0.0,16.0
240,increment,0,2.0,1.07,0.011,2.0,0.0,16.0
240,increment,5,2.0,1.13,0.011,2.0,0.0,16.0
240,increment,10,2.0,1.1,0.012,2.0,0.0,16.0
240,increment,20,2.0,1.23,0.011,0.0,0.0,16.0
241,decrement,0,7.0,1.04,0.011,5.0,0.0,21.0
241,decrement,5,7.0,1.04,0.01,7.0,0.0,21.0
241,decrement,10,7.0,1.08,0.009,7.0,0.0,21.0
241,decrement,20,7.0,1.02,0.015,7.0,0.0,21.0
241,increment,0,4.0,1.04,0.011,2.0,0.0,21.0
241,increment,5,4.0,1.04,0.01,4.0,0.0,21.0
241,increment,10,4.0,1.08,0.009,3.0,0.0,21.0
241,increment,20,4.0,1.02,0.015,4.0,0.0,21.0
